Model,Accuracy,Precision,Recall,F1-Score,TN,FP,FN,TP
XGBoost,0.6563835871182702,0.6485878561055867,0.5858975276453442,0.5827973206683608,4537,1720,2004,2694
Random Forest,0.6558113448267321,0.6370019712200934,0.6041903009236191,0.5877847640504552,4397,1860,1874,2824
SVM,0.6920936473221342,0.6766558165387985,0.669954485604723,0.6234113888256079,4464,1793,1594,3104
Logistic Regression,0.693946216265352,0.6918578598007703,0.6240336897242098,0.6074872918965679,4708,1549,1825,2873
